cell_som_cluster,pixel_meta_cluster_rename_CD14,pixel_meta_cluster_rename_CD163,pixel_meta_cluster_rename_CD20,pixel_meta_cluster_rename_CD3,pixel_meta_cluster_rename_CD31,pixel_meta_cluster_rename_CD3_CD4_CD45,pixel_meta_cluster_rename_CD3_CD8_CD45,pixel_meta_cluster_rename_CD68,pixel_meta_cluster_rename_CK17,pixel_meta_cluster_rename_ECAD,pixel_meta_cluster_rename_HLADR,pixel_meta_cluster_rename_SMA,pixel_meta_cluster_rename_VIM,pixel_meta_cluster_rename_noise,pixel_meta_cluster_rename_stroma,count,cell_meta_cluster,cell_meta_cluster_rename
39,0.019574354729923,0.005033489307749,0.0188521205658712,0.0064777973388091,0.0655343148937532,0.0785510314923837,0.0117796107100305,0.0158338689186453,0.0056145591015767,0.0071754219757693,0.0144753564743196,0.0634247590414865,0.5754602582094174,0.1211845538007832,0.027668896623736,118,29,stroma
40,0.0026852603957677,0.0009118986308264,0.0055952787275165,0.0021060119597103,0.0129330897773998,0.0107185275417431,0.0021789384606507,0.0006484368120829,0.0150713215211049,0.019309551871678,0.0005864122869424,0.0218423611375745,0.8524254323671585,0.0121178448054487,0.0424586221984298,288,29,stroma
41,0.0029261269479795,0.0057571282416385,0.4193929767463306,0.0198460479638285,0.0008682015614024,0.5292214183291769,0.0058513345332127,0.0029493908111216,0.0012316235183676,8.09651040401587e-05,0.0071183054449198,0.001100380164296,0.0032833429038584,0.0029720265035395,0.0044052405224986,161,21,CD4T
42,0.0260845985823414,0.0202782789052778,0.3224316118991338,0.0465190097599713,0.0067495209830607,0.4454338754450252,0.0357216667123857,0.0133715350543957,0.0045331875778704,0.0009190658741994,0.0427981884376596,0.0067910358869835,0.020546716096697,0.0111581302148891,0.0083262592778574,133,21,CD4T
43,0.008703979234158,0.0134803352883118,0.267299171525947,0.243119502831362,0.0004510787877983,0.4145005991433197,0.0191398714761084,0.010689609603724,0.0081920914428277,0.0005438086891324,0.0247269024898678,0.0159361460422305,0.0319399265650807,0.0082496051991394,0.0090066975673937,110,30,immune_other
44,0.0222393038755962,0.0246939714105347,0.0670116997555348,0.4929230480447135,0.0315448923046928,0.2729619419903707,0.06157015797521,0.0275176540689114,0.0089778183434145,0.0040696224346516,0.0226985884729419,0.0227375848430974,0.0437270067764764,0.0201442046584882,0.034887716757059,97,30,immune_other
45,0.0740696093266904,0.0593568372371104,0.0422606532719621,0.0496812771234508,0.0035965989331379,0.3373281392661026,0.0210931510817259,0.2309486190928623,0.0105536488313624,0.0130680134261378,0.0340833745443502,0.0092782695324112,0.0359230903101573,0.0370721612881294,0.0275596667098388,86,23,M1_macrophage
46,0.0565827910012365,0.1180935688145164,0.0208135545684608,0.0455993204394144,0.0125556360648941,0.2438868987371373,0.0054893046024609,0.0377642994343578,0.0022917025462973,0.0095161684425667,0.2939715633774954,0.0021794871794871,0.0191722864255395,0.0982437228185847,0.042030505044884,24,7,APC
47,0.1000638239247607,0.0780951068466934,0.0290836776892228,0.0115310430323796,0.0044148298317571,0.0431844769933211,0.004391038957557,0.0575764077156314,0.0040294616356784,0.0128504898011741,0.4302760582399368,0.0089587755981597,0.0049036300285189,0.1720942119039173,0.0576839285179214,39,7,APC
49,0.0184410276009093,0.0023970518950359,0.0067732683396008,0.0044785863113538,0.0071914955747689,0.0133602678184558,0.0047038980819378,0.0006524133965298,0.1881045086758446,0.1709161455402413,0.0009939948588311,0.0199079061995916,0.4864287659965943,0.0165265603346623,0.0630944666077426,60,29,stroma
50,0.0126541231212507,0.0,0.0002377131990253,0.0013394366846425,0.008648191645055,0.010177072082677,0.0014914969592301,0.0001620406470749,0.0170545818409474,0.2671070843404016,2.8140873211295743e-05,0.0066256762724138,0.6408948524459642,0.0071540647141209,0.0278061043738331,71,29,stroma
51,0.0052496696055822,0.0036062850480133,0.5290986948328679,0.0171085100200576,0.0012642292182883,0.4100905406996584,0.0052796758354101,0.0033441775397796,0.0010143791438045,0.0001165008612445,0.0151253240365337,0.0003028733000917,0.0059663727351905,0.0015126629717121,0.0025863697105263,190,22,Bcell
52,0.0110734560684989,0.0155207198795097,0.460283462186274,0.0644306586775092,0.0027493314690314,0.3442959539265375,0.0231986222029532,0.0202263964779841,0.0046019170884173,0.001651168920327,0.0315248698941919,0.0047730591333688,0.0106050958020239,0.0097017195190793,0.0061204394168073,112,22,Bcell
53,0.0128431700132724,0.0284702841829726,0.3671221524427633,0.1343899183502602,0.0026829566293825,0.2947513410945784,0.0685739691485268,0.0194778058509169,0.0078098187678697,0.0034694771225067,0.0445060888962343,0.0069351022060314,0.0339997635538114,0.0154465331462488,0.0021353347303541,119,31,other
54,0.0154617911563196,0.0317045758242968,0.1717758367859563,0.0546334556745971,0.1289326859960607,0.2721533784853773,0.046476670658057,0.0364897602346404,0.0046714468427683,0.0064760794727741,0.0126648703970307,0.0442515486013129,0.1182362341385257,0.022125034480095,0.0155100100629489,36,25,endothelium
55,0.0816554583772299,0.0437333282789925,0.0287507640329335,0.0230503232741467,0.0118491368887793,0.0557106490598024,0.0243296740280651,0.6519742814420426,0.0018175698957423,0.0087850567664375,0.0117501124936964,0.0119522336035056,0.0345803501508684,0.0484648268598641,0.0267074731239289,130,23,M1_macrophage
56,0.0890669096933434,0.5792069426292785,0.0350313103414719,0.0122424896417723,0.0045300233173576,0.1225916675365118,0.0176059329931962,0.0912377912029451,0.0005354377963896,0.0032763754042924,0.0226853155938606,0.0045148939143385,0.0151168027463644,0.0486864090594257,0.0222337526282072,165,14,M2_macrophage
57,0.0324273210689446,0.0039233882497654,0.0047030112790226,0.0201047437166204,0.000204832638091,0.0299339488284638,0.0190713951352982,0.0134928702325712,0.0212141102523822,0.028962282105723,0.0045196096435631,0.0188101809309425,0.0232734715575832,0.0229778623517995,0.0416051126098724,129,31,other
58,0.0102592524294658,0.0007224206605469,0.0011741720973945,0.0028485664064329,0.0031774202384762,0.0146109714952059,0.0038511281710136,0.0067469960389824,0.6426853081602906,0.2017676486429928,0.0017712583594728,0.0236500229454619,0.0805048468176571,0.013604001728118,0.0428229042041505,176,24,tumor_ck17
59,0.0221994914694851,0.0023682896488331,0.0012188603610223,0.0044926153534493,0.0062255533779535,0.012580164880543,0.0064658570581293,0.0038729554781408,0.1859197499592746,0.3718069435589959,0.0,0.0139134840835885,0.2844725033113269,0.008519812130611,0.0732703175045499,45,24,tumor_ck17
60,0.0141459640455938,0.0019389175257568,0.0014005026974209,0.0002102508854389,0.0090756307642742,0.0091358126926391,0.0019920137605335,0.0012946383582651,0.0195330984195168,0.471382667806243,8.673464951956456e-05,0.0189527604850353,0.405037690399505,0.0122460800771297,0.034708684165312,127,29,stroma
61,0.0035182216399209,0.0023583993485522,0.6510350517037912,0.0117476210104207,7.019851814281162e-05,0.3092325892172978,0.0026589238711926,0.0020997737622498,0.0012736737609205,0.0002403268445085,0.0073279043410673,0.0012290686953419,0.0039056694751751,0.0023033716186826,0.0023081235993226,219,22,Bcell
62,0.0070428016046992,0.0092520298414709,0.5729679731682656,0.0451352268151399,0.0068233760528235,0.2571397965410842,0.0131060151762423,0.0109791008940093,0.0081180081704576,2.129789363831917e-05,0.0314052575176787,0.0128095346601934,0.0170144599092659,0.0049896034856515,0.0044209371023253,111,22,Bcell
63,0.0073719400349309,0.0115361333774968,0.5015777234903042,0.0979902261909435,0.0023850476535037,0.188951939839195,0.112731720754764,0.0076607449702442,0.0038733319455898,0.000350724054474,0.0513753198360561,0.0044232083351299,0.0185185569461177,0.0077045132702759,0.0065776609551318,170,22,Bcell
64,0.0156276018167385,0.009111687657382,0.334193273787267,0.0295920000696791,0.1944630064648835,0.1641596980648141,0.0746654087431081,0.012861786061962,0.0021438762761942,0.0002703433360367,0.0320298238933595,0.0157210764605412,0.0695892438140688,0.0303909177437575,0.0155597088096371,27,25,endothelium
65,0.0166605731896845,0.0066120765803856,0.0219002551651586,0.0165281301585113,0.6159397888248168,0.0687413239097406,0.0128003201344645,0.0064788989325233,0.0066584959608502,0.0066328317586776,0.0098826060805079,0.0440912712345177,0.1347359573225113,0.0252192436827017,0.0404827649393197,201,25,endothelium
66,0.0584028843821232,0.0083340392082917,0.0028655812297629,0.0352245948924026,0.0270857753048266,0.0633295202832155,0.0505612061757523,0.1813893217090202,0.0050876068100285,0.0426638767520939,0.0166147467676818,0.0228434266171157,0.0981230343666829,0.172578164443613,0.0506588530024444,16,23,M1_macrophage
67,0.0440173618402029,0.0169791325836563,0.0,0.0077968022993072,0.0,0.0771571946266028,0.0209611512927891,0.1019959236907345,0.0502165884305048,0.2453836702024467,0.0171052359398281,0.0071243096079362,0.0454608761906343,0.104600770452582,0.0500697824903233,19,31,other
68,0.0487485969512217,0.0085896830879421,0.0028686416565771,0.0111574062760561,0.0044755597833064,0.037982006064626,0.006046083697447,0.0163100790984414,0.1497420849875093,0.4086689745673106,0.0045829374881246,0.0223031877324498,0.0370032862353799,0.043702290980421,0.1203497232388255,38,24,tumor_ck17
69,0.009799295924514,0.0027510986046863,0.0007110535302003,0.0005246032223681,0.0002006214700483,0.0093242477219732,0.00265328974645,0.0005954119663789,0.2648377698969162,0.5773892283779128,0.0002972044209157,0.0074491100627044,0.0828531996591606,0.0058948664581993,0.055565354185553,97,24,tumor_ck17
70,0.0139737522957824,0.0022044064035377,0.0019571976439386,0.0008535213186977,0.0035534037948764,0.0069148187327617,0.0012525427296021,0.0025929478782535,0.0228901576937502,0.658378379879128,0.0,0.0088171882415747,0.2423861333515353,0.0060256393505138,0.0278602410773706,147,29,stroma
71,0.0019738266272161,0.0021630216839464,0.7667800338653924,0.0060466976423736,0.0004290120687392,0.2001733243303302,0.0014007196574845,0.0014869213492779,0.00144682183243,0.0,0.0087549117584637,0.0008577642377088,0.002894671320252,0.0020993341082713,0.0018882119692291,301,22,Bcell
72,0.0053330613206842,0.004093742334542,0.6992245886468922,0.0741217335728053,0.0002711024861112,0.1714698325692333,0.0085930069125767,0.0022774182934257,0.0035888255791946,7.32547066149e-05,0.0232273067408709,0.0010911570591355,0.0097302218401755,0.0059533794840236,0.0027734102358397,146,22,Bcell
73,0.006885769636678,0.0116389460907131,0.61953611102328,0.0442467768783651,0.0077765212573317,0.131618642728666,0.0303019273759099,0.029102659044249,0.0089144066054008,0.0013962721535821,0.0705499171757176,0.0044192056779184,0.022770588152112,0.0110913819067229,0.0083724245018406,138,22,Bcell
74,0.0199445857589049,0.0339806600983046,0.3790607647486584,0.0141839115148835,0.0569673684699311,0.1007519669756393,0.0367976516178263,0.0955429849152009,0.0084341542817257,0.0071479914293207,0.0536145625922071,0.0226935228151006,0.0856627189942068,0.0511947184497413,0.0236759083740647,60,23,M1_macrophage
75,0.2066502281828049,0.0305883368985556,0.0697023449285529,0.0080724913944598,0.1448612002606482,0.0481141382233559,0.0199149928870584,0.0362448906271145,0.0077897149356183,0.0040431266846361,0.0005065856129685,0.0957024671743725,0.1723017393883212,0.1086510969455102,0.045094319622581,12,25,endothelium
76,0.1370566508021868,0.0314243506873464,0.0121790615136038,0.0055398578962307,0.0142485958683126,0.0815208022712472,0.0088007434546664,0.065587904011375,0.0055062999361924,0.0127884920467153,0.0460262700459082,0.0202081474306001,0.1217423968729558,0.5298231881593274,0.0773355487332881,186,31,other
77,0.038637096823901,0.0077079185855612,0.0034756779721028,0.0053952721556841,8.540819707375413e-05,0.0399180857254539,0.0099863303952473,0.0069518746847406,0.0071317670971783,0.3637039053846171,0.0558419809757399,0.002746940744302,0.0079263600036943,0.5679412588188836,0.0108605276690935,144,31,other
78,0.0556592736565592,0.0158983253166674,0.0021180272922275,0.0164541858519747,0.0019550974734517,0.0495216359876201,0.020070227371015,0.0060096145281609,0.0142295086250339,0.5928648950439902,0.0031723842753666,0.0400831909585529,0.0155718614730637,0.0506867627561158,0.0965940189304318,145,31,other
79,0.0124330132532441,0.0047213194462454,0.0030286586310035,0.0015744700811164,0.0034905821486331,0.008799453073718,0.0019001008500353,0.000976376601673,0.1402659120019303,0.744766067799836,0.0,0.0122929979536344,0.0350546483578082,0.0079922107735562,0.0324889290937718,99,27,tumor_ecad
80,0.003844905554992,0.0,6.257822277847309e-05,0.0010893432131061,0.0002740666909129,0.0022760774257915,0.0010255018753786,0.0002730784581851,0.0299791957004893,0.8317251738487543,0.0,0.0020637902839458,0.1142274968600774,0.0047854921260983,0.0126302135620639,136,27,tumor_ecad
81,0.0007598806375048,0.0003438830400162,0.8770332739481592,0.0033916964232009,0.0,0.1093797628906319,0.0014687656291144,0.0006999310826091,0.0003526396387091,0.0,0.0031060527636204,0.0001509307395606,0.0005261205275121,0.0003949988193386,0.0009007823384632,178,22,Bcell
82,0.004406971753427,0.0047683033127535,0.8213208172546537,0.0247259018003386,0.0003297428886065,0.0952384518986679,0.0035844625627682,0.0030087270470632,0.0031597200643138,0.0,0.0196311990605485,0.0035353585636186,0.0042598219768687,0.0032259538827497,0.0028199539052405,164,22,Bcell
83,0.0107604507541111,0.0210688297438075,0.7028455136027282,0.0134480362873213,0.0059626633217154,0.0665561599550368,0.0664367682959169,0.0046024221951939,0.0024618048796905,0.0007198443983341,0.0530631584523477,0.0020534401622267,0.0207546628002654,0.0084814785365458,0.0136770457958938,132,22,Bcell
84,0.0301474047513102,0.0609794249045297,0.51876808445118,0.0086309654514284,0.0094291926746963,0.0578138559658679,0.0282408416427453,0.0683324444478646,0.0052769996064908,0.0017348740170117,0.039265892313339,0.0241929600378809,0.0765224790315881,0.0372281557358167,0.0271066811590214,67,22,Bcell
85,0.2255951940590675,0.0420797715852396,0.0594017680057299,0.0147239924459769,0.0007428359997591,0.0642735579755856,0.0315767141469715,0.0590616658596539,0.0023080302239867,0.0031944772242733,0.0103988786072209,0.2108449396244511,0.0457320445865015,0.0638882137081798,0.0811998784613566,28,26,CD14_monocyte
