pixel_som_cluster,CD3,CD4,CD8a,CD11b,CD14,CD16,CD20,CD44,CD45,CD45RO,CD68,CD107a,CD163,CD366,Pan-keratin,FOXP3,E-Cadherin,HLA-DR-DQ-DP,Beta-Catenin,B7-H4,Granzyme-B,Alpha-SMA,Vimentin,CD31,count,pixel_meta_cluster,pixel_meta_cluster_rename
44,0.188239608933383,0.2501084890233315,0.178091578588187,0.701466604699737,0.2822560875786947,0.1676758585979573,0.2032286464619581,0.149828996180573,0.2228985511551988,0.1578117329807773,0.1998738395372923,0.2471139368753969,0.1136134202795126,0.417211048401612,0.1210144208405392,0.2538952713703802,0.0749806734193188,0.0902643133119513,0.2603545191766385,0.2812529686236419,0.4289431279384856,0.4303324214780141,0.3732582011205466,0.2475754341136403,173064,10,Vim + GzmB + aSMA
45,0.2940224277427194,0.3802176666734149,0.2345526228569444,0.3656767538638262,0.2604117076547498,0.1283838629216893,0.1305353973056248,0.1701597456175374,0.2581716682660575,0.2021428773127684,0.2763880845814808,0.2650266920120107,0.1187952873914278,0.3834024041700015,0.09103163496757,0.2269884368066849,0.0961908836236952,0.0850854339735274,0.2966226004501404,0.3438934683741946,0.5341812801560054,0.3812257328805264,0.4111996865952144,0.2039115487795995,291044,1,Vim + GzmB
46,0.257899742115809,0.2806678090179761,0.2431934480559833,0.3861922272180044,0.2421646068483346,0.1396127600250994,0.1459436773490435,0.1204452145539799,0.2552925071257141,0.469732337630569,0.2382564113161662,0.19415300522845,0.1021435053587405,0.3861859771507531,0.1131607838720398,0.2450045037832386,0.0917187657920571,0.0884197758830541,0.2112651602050236,0.2922108612189838,0.6172682154824124,0.2029168159730145,0.5136373616581235,0.2709243075787542,181489,1,Vim + GzmB
47,0.2651255018247905,0.3127339100034572,0.2679626456367827,0.3173015040567413,0.2391157731147233,0.1576259455210747,0.165724583375925,0.1320289129677101,0.2697669212029023,0.5913275285864633,0.2224961226853332,0.1548102075622354,0.1241038166771039,0.2945192297593731,0.1171709056951387,0.3069366221032359,0.1086080760911101,0.0980600244964705,0.2126982351455122,0.2847435871775046,0.4224413420273069,0.1514325676626915,0.2984773124038158,0.5288531224970209,172977,22,CD45RO
48,0.2896322664754573,0.3459667249657693,0.2289970444213594,0.3894018223966793,0.2557090880007461,0.175224236390743,0.1570445073468303,0.19499789401396,0.3002353932880514,0.1649378707407849,0.2086751247902645,0.1503679064184474,0.1685205628781783,0.2869779635649696,0.141919943137605,0.4009690556630216,0.1186517175266574,0.0918917141994982,0.2735502827737722,0.3752863185985949,0.238503888623665,0.1054704995365456,0.1458402984299086,0.8015336878961052,139047,18,CD31 + GzmB*
49,0.2342158249378494,0.2795323243789445,0.1996554980353055,0.5364401824561271,0.2444707082705212,0.1479898261669375,0.1102065857229555,0.2334905217532057,0.3902487809371296,0.135764245058367,0.2177769062543704,0.1190119226551918,0.1218691296137874,0.3384286952703069,0.1220083529469143,0.3475950597388379,0.0869215763124113,0.0949629166406993,0.2390992771396563,0.4292370399174561,0.629039507406572,0.0896917714110412,0.2762060932664109,0.5181471007507161,223233,18,CD31 + GzmB*
50,0.2068776793496801,0.2390273380978,0.0975258788594406,0.368347076506627,0.2842854000528535,0.2058009941264444,0.0684415992245334,0.1204039665632532,0.2560302013769005,0.1206555434833883,0.2242866519344616,0.1719103898319978,0.1904217170750127,0.6593264989392146,0.2221275126199796,0.2991314877766278,0.1598503097490777,0.0573048920119984,0.5179954268025305,0.2931683758200077,1.1013221598375933,0.0782271085979404,0.1579333581877621,0.1493101361116295,84833,6,CD366 + GzmB
51,0.2050870094321124,0.2517350712031115,0.1636052311135354,0.3329725939851696,0.3122031202866652,0.2715596761213831,0.134441895926,0.2392297504685114,0.299992661623206,0.1408192639282817,0.2653122754959857,0.1966633109789807,0.2047798123926276,0.3171043689760168,0.1685325289330186,0.2232903837281404,0.1355884411690754,0.105281010996486,0.2370142129780394,0.2368239209546513,1.219653489434201,0.1261321975739369,0.2035384895781896,0.2159737500122332,57228,1,Vim + GzmB
52,0.2114839300123341,0.2436240449329588,0.1652823912641545,0.3700956831850349,0.2531598108057482,0.160078548216767,0.1129560536689986,0.1979805283925662,0.1985884479623346,0.1044751056808406,0.269402173151593,0.2645065189803717,0.1195637951733956,0.3392350502153207,0.1153878341601644,0.180548874892753,0.0977633537372041,0.0726036482407522,0.2662861235891386,0.3277941979531733,0.9078999807887056,0.1335695136886643,0.8366400963259366,0.2033691020526863,102225,1,Vim + GzmB
53,0.2724169558467058,0.2596930922243822,0.1652036431851818,0.455902070479733,0.2810491874685213,0.2720193322237393,0.1353424515322352,0.1236248665126474,0.1982256840437308,0.1129761989550296,0.1682808928317228,0.1200429605850264,0.2273854700169871,0.3228468762935728,0.2533084297490222,0.2726892656379802,0.0868181598297947,0.0703300387906948,0.282114361440696,0.3245703976423497,0.2878312010283014,0.0731831332789712,1.0391186626140538,0.2554603774318272,155089,1,Vim + GzmB
