item,label
141301,Regulatory T cells
141302,Neutrophil&monocyte
141303,Regulatory T cells
141304,Int_Monocyte
141305,Int_Monocyte
141306,Regulatory T cells
141307,Regulatory T cells
141308,Regulatory T cells
141309,Regulatory T cells
141310,Regulatory T cells
141311,Regulatory T cells
141312,CD163n_Mac [M1]
141313,Int_Monocyte
141314,Regulatory T cells
141315,Regulatory T cells
141316,Regulatory T cells
141317,Memory B cells
141318,CI_Monocyte
141319,Memory B cells
141320,Regulatory T cells
141321,Regulatory T cells
141322,Memory B cells
141323,Regulatory T cells
141324,Regulatory T cells
141325,Regulatory T cells
141326,Regulatory T cells
141327,Regulatory T cells
141328,Memory B cells
141329,Regulatory T cells
141330,Regulatory T cells
141331,CD163n_Mac [M1]
141332,Regulatory T cells
141333,Regulatory T cells
141334,Regulatory T cells
141335,Naive CD4 T cells
141336,Regulatory T cells
141337,Regulatory T cells
141338,Regulatory T cells
141339,Regulatory T cells
141340,Regulatory T cells
141341,Regulatory T cells
141342,Memory B cells
141343,Memory B cells
141344,Memory B cells
141345,Naive CD4 T cells
141346,CD163n_Mac [M1]
141347,Memory B cells
141348,CD163n_Mac [M1]
141349,Regulatory T cells
141350,Regulatory T cells
141351,Memory B cells
141352,Regulatory T cells
141353,Regulatory T cells
141354,CD163n_Mac [M1]
141355,CD163n_Mac [M1]
141356,Regulatory T cells
141357,Memory B cells
141358,Regulatory T cells
141359,Regulatory T cells
141360,CI_Monocyte
141361,Regulatory T cells
141362,Regulatory T cells
141363,Memory B cells
141364,Regulatory T cells
141365,Memory B cells
141366,Regulatory T cells
141367,Regulatory T cells
141368,Regulatory T cells
141369,Regulatory T cells
141370,Regulatory T cells
141371,Int_Monocyte
141372,Regulatory T cells
141373,Regulatory T cells
141374,Regulatory T cells
141375,Regulatory T cells
141376,Memory B cells
141377,Memory B cells
141378,Regulatory T cells
141379,Regulatory T cells
141380,Regulatory T cells
141381,Regulatory T cells
141382,Memory B cells
141383,Memory B cells
141384,CI_Monocyte
141385,CD163n_Mac [M1]
141386,Regulatory T cells
141387,Regulatory T cells
141388,Memory B cells
141389,CI_Monocyte
141390,Memory B cells
141391,Regulatory T cells
141392,Regulatory T cells
141393,Regulatory T cells
141394,Regulatory T cells
141395,Regulatory T cells
141396,Memory B cells
141397,Regulatory T cells
141398,CI_Monocyte
141399,Memory B cells
141400,Memory B cells
141401,Regulatory T cells
141402,Naive CD4 T cells
141403,Regulatory T cells
141404,Regulatory T cells
141405,Memory B cells
141406,Memory B cells
141407,Regulatory T cells
141408,Memory B cells
141409,Regulatory T cells
141410,CD163n_Mac [M1]
141411,Regulatory T cells
141412,Regulatory T cells
141413,Regulatory T cells
141414,Naive CD4 T cells
141415,Memory B cells
141416,Regulatory T cells
141417,Memory B cells
141418,Memory B cells
141419,Regulatory T cells
141420,Memory B cells
141421,Memory B cells
141422,Regulatory T cells
141423,Regulatory T cells
141424,Regulatory T cells
141425,Regulatory T cells
141426,CD163n_Mac [M1]
141427,Regulatory T cells
141428,Regulatory T cells
141429,CD163n_Mac [M1]
141430,Memory B cells
141431,Memory B cells
141432,Memory B cells
141433,Memory B cells
141434,Regulatory T cells
141435,Regulatory T cells
141436,Int_Monocyte
141437,CD163n_Mac [M1]
141438,CD163n_Mac [M1]
141439,Regulatory T cells
141440,Regulatory T cells
141441,Regulatory T cells
141442,Memory B cells
141443,CD163n_Mac [M1]
141444,CD163n_Mac [M1]
141445,Regulatory T cells
141446,Regulatory T cells
141447,Regulatory T cells
141448,Regulatory T cells
141449,Regulatory T cells
141450,Memory B cells
141451,Regulatory T cells
141452,Memory B cells
141453,Regulatory T cells
141454,Regulatory T cells
141455,Regulatory T cells
141456,Regulatory T cells
141457,Regulatory T cells
141458,Memory B cells
141459,CD163n_Mac [M1]
141460,Regulatory T cells
141461,Regulatory T cells
141462,Regulatory T cells
141463,Regulatory T cells
141464,Regulatory T cells
141465,Regulatory T cells
141466,Regulatory T cells
141467,Regulatory T cells
141468,Naive CD4 T cells
141469,Memory B cells
141470,Regulatory T cells
141471,Regulatory T cells
141472,Memory B cells
141473,Regulatory T cells
141474,Regulatory T cells
141475,Regulatory T cells
141476,Memory B cells
141477,Regulatory T cells
141478,Regulatory T cells
141479,Memory B cells
141480,Regulatory T cells
141481,Regulatory T cells
141482,Regulatory T cells
141483,Regulatory T cells
141484,Regulatory T cells
141485,CD163n_Mac [M1]
141486,Regulatory T cells
141487,Naive CD4 T cells
141488,Regulatory T cells
141489,Memory B cells
141490,Regulatory T cells
141491,Memory B cells
141492,Regulatory T cells
141493,Regulatory T cells
141494,Memory B cells
141495,Memory B cells
141496,Memory B cells
141497,Memory B cells
141498,Memory B cells
141499,Regulatory T cells
141500,Regulatory T cells
141501,Regulatory T cells
141502,CD163n_Mac [M1]
141503,Regulatory T cells
141504,Regulatory T cells
141505,Regulatory T cells
141506,Memory B cells
141507,CD163n_Mac [M1]
141508,Regulatory T cells
141509,Regulatory T cells
141510,Memory B cells
141511,Regulatory T cells
141512,Regulatory T cells
141513,Regulatory T cells
141514,Memory B cells
141515,Memory B cells
141516,Regulatory T cells
141517,CI_Monocyte
141518,Int_Monocyte
141519,Memory B cells
141520,Regulatory T cells
141521,Regulatory T cells
141522,Regulatory T cells
141523,Memory B cells
141524,Memory B cells
141525,CI_Monocyte
141526,CD163n_Mac [M1]
141527,Regulatory T cells
141528,CD163n_Mac [M1]
141529,Memory B cells
141530,Naive CD4 T cells
141531,Regulatory T cells
141532,Memory B cells
141533,Regulatory T cells
141534,Regulatory T cells
141535,Memory B cells
141536,Memory B cells
141537,CD163n_Mac [M1]
141538,Regulatory T cells
141539,Regulatory T cells
141540,Regulatory T cells
141541,Regulatory T cells
141542,Regulatory T cells
141543,Regulatory T cells
141544,Regulatory T cells
141545,Regulatory T cells
141546,Regulatory T cells
141547,Regulatory T cells
141548,Regulatory T cells
141549,Regulatory T cells
141550,Regulatory T cells
141551,Memory B cells
141552,Regulatory T cells
141553,Regulatory T cells
141554,Regulatory T cells
141555,Regulatory T cells
141556,Memory B cells
141557,CD163n_Mac [M1]
141558,Regulatory T cells
141559,Int_Monocyte
